Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","MA005",Ch1Unknown,"v3v4","Manual",124,QX200 ddPCR EvaGreen Supermix,2480,,,134,119,603,5429,,,,,,6032,,,,,,,,,,,,,,,,,,1,1,14996,23560,13173,14212,"Absolute Quantification Experiment",,,,130,0,,,,,,,,,,,,,
"B01",Absolute Quantification,"ABS","MB005",Ch1Unknown,"v3v4","Manual",144.6,QX200 ddPCR EvaGreen Supermix,2892,,,150.8,141.4,2083,15926,,,,,,18009,,,,,,,,,,,,,,,,,,1,1,14996,23373,12963,14167,"Absolute Quantification Experiment",,,,150,0,,,,,,,,,,,,,
"C01",Absolute Quantification,"ABS","MC005",Ch1Unknown,"v3v4","Manual",59.4,QX200 ddPCR EvaGreen Supermix,1188,,,63.1,57.4,958,18510,,,,,,19468,,,,,,,,,,,,,,,,,,1,1,14996,22987,13241,13721,"Absolute Quantification Experiment",,,,61,0,,,,,,,,,,,,,
"D01",Absolute Quantification,"ABS","MD005",Ch1Unknown,"v3v4","Manual",222,QX200 ddPCR EvaGreen Supermix,4440,,,230,219,3230,15519,,,,,,18749,,,,,,,,,,,,,,,,,,1,1,14996,23213,13200,14925,"Absolute Quantification Experiment",,,,230,0,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","ME005",Ch1Unknown,"v3v4","Manual",65.1,QX200 ddPCR EvaGreen Supermix,1302,,,69,63.1,1077,18931,,,,,,20008,,,,,,,,,,,,,,,,,,1,1,14996,23611,13043,13612,"Absolute Quantification Experiment",,,,67,0,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","MF005",Ch1Unknown,"v3v4","Manual",94.1,QX200 ddPCR EvaGreen Supermix,1882,,,98.9,91.7,1506,18085,,,,,,19591,,,,,,,,,,,,,,,,,,1,1,14996,23782,13156,13973,"Absolute Quantification Experiment",,,,97,0,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","MG005",Ch1Unknown,"v3v4","Manual",54.6,QX200 ddPCR EvaGreen Supermix,1092,,,58.2,52.7,880,18530,,,,,,19410,,,,,,,,,,,,,,,,,,1,1,14996,23275,12755,13232,"Absolute Quantification Experiment",,,,56,0,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","MH005",Ch1Unknown,"v3v4","Manual",11.9,QX200 ddPCR EvaGreen Supermix,238,,,14,10.8,121,11894,,,,,,12015,,,,,,,,,,,,,,,,,,1,1,14996,19958,13192,13260,"Absolute Quantification Experiment",,,,13,0,,,,,,,,,,,,,
"A02",Absolute Quantification,"ABS","ME004",Ch1Unknown,"v3v4","Manual",180,QX200 ddPCR EvaGreen Supermix,3600,,,193,173,714,4325,,,,,,5039,,,,,,,,,,,,,,,,,,1,1,14996,18045,8683.4,10010,"Absolute Quantification Experiment",,,,190,0,,,,,,,,,,,,,
"B02",Absolute Quantification,"ABS","MA001",Ch1Unknown,"v3v4","Manual",0.37,QX200 ddPCR EvaGreen Supermix,7.4,,,0.75,0.24,6,19295,,,,,,19301,,,,,,,,,,,,,,,,,,1,1,14996,17415,13007,13009,"Absolute Quantification Experiment",,,,0.54,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","MA013",Ch1Unknown,"v3v4","Manual",723,QX200 ddPCR EvaGreen Supermix,14460,,,739,715,8617,10153,,,,,,18770,,,,,,,,,,,,,,,,,,1,1,14996,23821,12662,17785,"Absolute Quantification Experiment",,,,730,0,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","MC013",Ch1Unknown,"v3v4","Manual",1041,QX200 ddPCR EvaGreen Supermix,20820,,,1062,1031,10675,7504,,,,,,18179,,,,,,,,,,,,,,,,,,1,1,14996,23391,12601,18937,"Absolute Quantification Experiment",,,,1100,0,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","MD013",Ch1Unknown,"v3v4","Manual",1335,QX200 ddPCR EvaGreen Supermix,26700,,,1359,1322,12572,5960,,,,,,18532,,,,,,,,,,,,,,,,,,1,1,14996,23086,12512,19686,"Absolute Quantification Experiment",,,,1300,0,,,,,,,,,,,,,
