Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Absolute Quantification,"ABS","NTC",Ch1NTC,"v3v4","Manual",0.52,QX200 ddPCR EvaGreen Supermix,10.4,,,0.98,0.36,8,17948,,,,,,17956,,,,,,,,,,,,,,,,,,1,1,12222,13782,10378,10379,"Absolute Quantification Experiment",,,,0.73,0,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","MI012",Ch1Unknown,"v3v4","Manual",3550,QX200 ddPCR EvaGreen Supermix,71000,,,3640,3510,13645,700,,,,,,14345,,,,,,,,,,,,,,,,,,1,1,12222,22028,9947.3,21439,"Absolute Quantification Experiment",,,,3600,0,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","MI004",Ch1Unknown,"v3v4","Manual",3330,QX200 ddPCR EvaGreen Supermix,66600,,,3400,3300,17926,1124,,,,,,19050,,,,,,,,,,,,,,,,,,1,1,12222,22441,10066,21711,"Absolute Quantification Experiment",,,,3400,0,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","MA008",Ch1Unknown,"v3v4","Manual",471,QX200 ddPCR EvaGreen Supermix,9420,,,483,465,6069,12326,,,,,,18395,,,,,,,,,,,,,,,,,,1,1,12222,23847,9839.9,14461,"Absolute Quantification Experiment",,,,480,0,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","MI011",Ch1Unknown,"v3v4","Manual",2489,QX200 ddPCR EvaGreen Supermix,49780,,,2538,2465,14922,2046,,,,,,16968,,,,,,,,,,,,,,,,,,1,1,12222,22346,9509.9,20798,"Absolute Quantification Experiment",,,,2500,0,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","MI003",Ch1Unknown,"v3v4","Manual",2791,QX200 ddPCR EvaGreen Supermix,55820,,,2844,2765,17180,1767,,,,,,18947,,,,,,,,,,,,,,,,,,1,1,12222,22524,10010,21357,"Absolute Quantification Experiment",,,,2800,0,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","MA007",Ch1Unknown,"v3v4","Manual",872,QX200 ddPCR EvaGreen Supermix,17440,,,890,863,9457,8614,,,,,,18071,,,,,,,,,,,,,,,,,,1,1,12222,23431,9984.8,17022,"Absolute Quantification Experiment",,,,880,0,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","MI010",Ch1Unknown,"v3v4","Manual",2522,QX200 ddPCR EvaGreen Supermix,50440,,,2574,2497,13900,1845,,,,,,15745,,,,,,,,,,,,,,,,,,1,1,12222,22197,9517.5,20711,"Absolute Quantification Experiment",,,,2500,0,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","MI002",Ch1Unknown,"v3v4","Manual",2239,QX200 ddPCR EvaGreen Supermix,44780,,,2280,2219,15977,2800,,,,,,18777,,,,,,,,,,,,,,,,,,1,1,12222,22842,9877.3,20909,"Absolute Quantification Experiment",,,,2300,0,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","MA006",Ch1Unknown,"v3v4","Manual",721,QX200 ddPCR EvaGreen Supermix,14420,,,738,713,7111,8404,,,,,,15515,,,,,,,,,,,,,,,,,,1,1,12222,23415,10079,16191,"Absolute Quantification Experiment",,,,730,0,,,,,,,,,,,,,
